Year,Month,Day,Time (LST),Wind Spd (km/h)
1994,10,26,03:00,11
1994,10,26,04:00,15
1994,10,26,05:00,19
1994,10,26,06:00,13
1994,10,26,07:00,13
1994,10,26,08:00,15
1994,10,26,09:00,13
1994,10,26,10:00,15
1994,10,26,11:00,33
1994,10,26,12:00,35
1994,10,26,13:00,41
1994,10,26,14:00,35
1994,10,26,15:00,33
1994,10,26,16:00,26
1994,10,26,17:00,20
1994,10,26,18:00,9
1994,10,26,19:00,11
1994,10,26,20:00,13
1994,10,26,21:00,9
1994,10,26,22:00,11
1994,10,26,23:00,9
1994,10,27,00:00,4
1994,10,27,01:00,7
1994,10,27,02:00,13
1994,10,27,03:00,7
1994,10,27,04:00,11
1994,10,27,05:00,24
1994,10,27,06:00,11
1994,10,27,07:00,13
1994,10,27,08:00,7
1994,10,27,09:00,11
1994,10,27,10:00,13
1994,10,27,11:00,15
1994,10,27,12:00,22
1994,10,27,13:00,24
1994,10,27,14:00,30
1994,10,27,15:00,22
1994,10,27,16:00,17
1994,10,27,17:00,13
1994,10,27,18:00,9
1994,10,27,19:00,0
1994,10,27,20:00,0
1994,10,27,21:00,6
1994,10,27,22:00,6
1994,10,27,23:00,4
1994,10,28,00:00,9
1994,10,28,01:00,19
1994,10,28,02:00,17
1994,10,28,03:00,9
1994,10,28,04:00,9
1994,10,28,05:00,9
1994,10,28,06:00,9
1994,10,28,07:00,7
1994,10,28,08:00,17
1994,10,28,09:00,17
1994,10,28,10:00,22
1994,10,28,11:00,30
1994,10,28,12:00,35
1994,10,28,13:00,35
1994,10,28,14:00,37
1994,10,28,15:00,37
1994,10,28,16:00,39
1994,10,28,17:00,35
1994,10,28,18:00,24
1994,10,28,19:00,26
1994,10,28,20:00,24
1994,10,28,21:00,30
1994,10,28,22:00,26
1994,10,28,23:00,24
1994,10,29,00:00,24
1994,10,29,01:00,26
1994,10,29,02:00,30
1994,10,29,03:00,26
1994,10,29,04:00,30
1994,10,29,05:00,33
1994,10,29,06:00,33
1994,10,29,07:00,30
1994,10,29,08:00,30
1994,10,29,09:00,24
1994,10,29,10:00,30
1994,10,29,11:00,30
1994,10,29,12:00,32
1994,10,29,13:00,41
1994,10,29,14:00,37
1994,10,29,15:00,41
1994,10,29,16:00,37
1994,10,29,17:00,33
1994,10,29,18:00,28
1994,10,29,19:00,19
1994,10,29,20:00,22
1994,10,29,21:00,15
1994,10,29,22:00,20
1994,10,29,23:00,15
1994,10,30,00:00,13
1994,10,30,01:00,13
1994,10,30,02:00,13
1994,10,30,03:00,11
1994,10,30,04:00,13
1994,10,30,05:00,7
1994,10,30,06:00,13
1994,10,30,07:00,11
1994,10,30,08:00,9
1994,10,30,09:00,6
1994,10,30,10:00,7
1994,10,30,11:00,4
1994,10,30,12:00,6
1994,10,30,13:00,7
1994,10,30,14:00,9
1994,10,30,15:00,9
1994,10,30,16:00,7
1994,10,30,17:00,6
1994,10,30,18:00,6
1994,10,30,19:00,9
1994,10,30,20:00,0
1994,10,30,21:00,0
1994,10,30,22:00,0
1994,10,30,23:00,0
1994,10,31,00:00,0
1994,10,31,01:00,0
1994,10,31,02:00,0
1994,10,31,03:00,0
1994,10,31,04:00,4
1994,10,31,05:00,0
1994,10,31,06:00,0
1994,10,31,07:00,11
1994,10,31,08:00,9
1994,10,31,09:00,7
1994,10,31,10:00,11
1994,10,31,11:00,13
1994,10,31,12:00,15
1994,10,31,13:00,19
1994,10,31,14:00,19
1994,10,31,15:00,22
1994,10,31,16:00,24
1994,10,31,17:00,22
1994,10,31,18:00,22
1994,10,31,19:00,20
1994,10,31,20:00,26
1994,10,31,21:00,28
1994,10,31,22:00,26
1994,10,31,23:00,26
