available_capacity_MW,probability
76.4803,5.560753156187909e-12
76.7904,3.672249589909496e-11
77.0,3.533618295219552e-13
77.2882,3.359890359070333e-11
77.342,1.7907308114833565e-11
77.3945,6.426503141252026e-14
77.6332,2.0425099030059102e-13
77.842,3.063057403494174e-11
77.8748,4.907452002482256e-12
78.2882,1.6108260974395123e-11
78.4519,2.812627587423983e-11
78.8595,1.7847619913426243e-13
79.0132,5.5981202863399466e-14
79.1179,2.5889789491235703e-11
79.2903,1.4496164017034845e-11
79.3254,4.1871734514724604e-12
79.8398,2.3511436434682788e-11
80.0,1.8584890173119388e-08
80.1419,1.569277387051693e-13
80.142,2.226047687935044e-09
80.3486,1.295251512909027e-11
80.3596,2.2023102383511013e-09
80.6179,2.1408361822856407e-11
80.6332,2.1551179925787705e-09
80.6879,4.911427281914915e-14
80.8319,3.677421151989177e-12
80.9629,2.0866125936535553e-09
81.3486,2.002669970817556e-09
81.4519,1.9477020552694335e-11
81.4628,1.1362379522991927e-11
81.4803,1.3767619715501124e-13
81.7904,1.817879877834807e-09
82.0,3.4805243350477243e-13
82.2882,1.6632521635425258e-09
82.342,1.7638243992905105e-11
82.3945,3.181516881948643e-12
82.6332,1.016097098212536e-11
82.842,1.5163104473523062e-09
82.8748,1.2150140645438686e-13
83.2882,1.5866228220668174e-11
83.4519,1.3923397551927106e-09
83.8595,8.878740209456995e-12
84.0132,2.771416088454572e-12
84.1179,1.2816265944128369e-09
84.2903,1.427835363383473e-11
84.3254,1.0366835236799913e-13
84.8398,1.163890583882e-09
85.0,2.354804364319555e-10
85.1419,7.806758718413725e-12
85.142,2.820520735879639e-11
85.3486,1.275789865811511e-11
85.3596,2.790444125602473e-11
85.6179,1.059781728401982e-09
85.6332,2.730649041923443e-11
85.6879,2.4314605421372574e-12
85.8319,9.104762346443593e-14
85.9629,2.6438490603976586e-11
86.3486,2.5374892956826955e-11
86.4519,9.641742173573399e-10
86.4628,1.1191655444879968e-11
86.4803,6.849043141297276e-12
86.7904,2.3033504262111e-11
87.0,1.7230750046486518e-11
87.2882,2.1074288936820192e-11
87.342,8.731489527059374e-10
87.3945,7.876975172036506e-14
87.6332,1.0008298524728961e-11
87.842,1.9212459292619195e-11
87.8748,6.044388149372275e-12
88.2882,7.854285585255731e-10
88.4519,1.7641684732071262e-11
88.8595,8.745333757578861e-12
89.0132,6.861624982724699e-14
89.1179,1.6238890140531846e-11
89.2903,7.068237363516828e-10
89.3254,5.15723874153935e-12
89.8398,1.4747112309976856e-11
90.0,1.171455706492304e-08
90.1419,7.689459196553296e-12
90.142,1.4031378408290125e-09
90.3486,6.315563985021707e-10
90.3596,1.388175486726483e-09
90.6179,1.3427997776799544e-11
90.6332,1.3584289425730262e-09
90.6879,6.019944269624896e-14
90.8319,4.5293893491146154e-12
90.9629,1.315248143682674e-09
91.3486,1.2623368465896241e-09
91.4519,1.2216599796114758e-11
91.4628,5.540223978460317e-10
91.4803,6.746133660595551e-12
91.7904,1.1458586716252191e-09
92.0,4.266084240565476e-13
92.2882,1.048392656705449e-09
92.342,1.1063261312713392e-11
92.3945,3.918596234573716e-12
92.6332,4.954424816183847e-10
92.842,9.5577133349646e-10
92.8748,5.9535689162649564e-12
93.2882,9.951797294731075e-12
93.4519,8.77629265711626e-10
93.8595,4.3292172477971154e-10
94.0132,3.4134851555473877e-12
94.1179,8.078437771931247e-10
94.2903,8.955832419031349e-12
94.3254,5.0797492660319574e-12
94.8398,7.336315972387477e-10
95.0,1.1538541385165815e-08
95.1419,3.8065258917192896e-10
95.142,1.3820551605810229e-09
95.3486,8.002155243606873e-12
95.3596,1.3673176215452116e-09
95.6179,6.680089803104825e-10
95.6332,1.338018030542487e-09
95.6879,2.9947702553436977e-12
95.8319,4.461333549757361e-12
95.9629,1.2954860395948525e-09
96.3486,1.2433697548845207e-09
96.4519,6.077449898572242e-10
96.4628,7.019758245682689e-12
96.4803,3.3395498684181115e-10
96.7904,1.1286417088434389e-09
97.0,2.1222691802813098e-11
97.2882,1.0326401579041892e-09
97.342,5.503693127789239e-10
97.3945,3.8597178342978885e-12
97.6332,6.2775195716341595e-12
97.842,9.414105053383403e-10
97.8748,2.9472052128263916e-10
98.2882,4.950767846116217e-10
98.4519,8.644425518714916e-10
98.8595,5.485348352472424e-12
99.0132,3.3621962415351027e-12
99.1179,7.957056168860602e-10
99.2903,4.455300471083777e-10
99.3254,2.51463680479115e-10
99.8398,7.226085031888658e-10
100.0,5.711750463638214e-07
100.1419,4.823070623081044e-12
100.142,6.84137963431918e-08
100.3486,3.980870159067056e-10
100.3596,6.768426613126309e-08
100.6179,6.579718910631776e-10
100.6332,6.6233892579634e-08
100.6879,2.949772692116199e-12
100.8319,2.2085014348420462e-10
100.9629,6.412849545095597e-08
101.3486,6.154866145443335e-08
101.4519,5.986133900096231e-10
101.4628,3.4921524606047726e-10
101.4803,4.2313871816084184e-12
101.7904,5.58694516800513e-08
102.0,2.0903812778770837e-11
102.2882,5.111723140555283e-08
102.342,5.420998043229562e-10
102.3945,1.9106825974928341e-10
102.6332,3.122907463666489e-10
102.842,4.660122723356578e-08
102.8748,3.734265649708743e-12
103.2882,4.876380674418225e-10
103.4519,4.279119848535031e-08
103.8595,2.7288222864572424e-10
104.0132,1.6643936484091527e-10
104.1179,3.938861745568175e-08
104.2903,4.3883578853253596e-10
104.3254,3.1861784855556603e-12
104.8398,3.577020106219091e-08
105.0,3.4150640264766283e-09
105.1419,2.3993558402701157e-10
105.142,4.090470973718143e-10
105.3486,3.921056069367367e-10
105.3596,4.046852254748431e-10
105.6179,3.257059214323743e-08
105.6332,3.960134206180765e-10
105.6879,1.4602309265467993e-10
105.8319,2.798288700620906e-12
105.9629,3.8342522013318403e-10
106.3486,3.68000354617974e-10
106.4519,2.963225761206881e-08
106.4628,3.439681540384517e-10
106.4803,2.1050082696385318e-10
106.7904,3.3404427561421333e-10
107.0,1.0348049523913255e-09
107.2882,3.056306805024354e-10
107.342,2.683475064413727e-08
107.3945,2.420936404517028e-12
107.6332,3.075984590100738e-10
